time[sec],yaw,pitch,roll,x,y,z,acc_x,acc_y,acc_z,omega_x,omega_y,omega_z
0.0,0.0,0.0,0.0,-0.18623883905566924,0.0,0.0,0.5000482880656303,0.0,0.0,0.0,0.0,0.0
0.005,0.0,0.0,0.0,-0.1180128016606974,0.0,0.0,0.49343975601727114,0.0,0.0,0.0,0.0,0.0
0.01,0.0,0.0,0.0,-0.0016492846778744692,0.0,0.0,0.5059811911099588,0.0,0.0,0.0,0.0,0.0
0.015,0.0,0.0,0.0,-0.2973721801181765,0.0,0.0,0.4878421257459089,0.0,0.0,0.0,0.0,0.0
0.02,0.0,0.0,0.0,-0.49182942913152694,0.0,0.0,0.4970026212297131,0.0,0.0,0.0,0.0,0.0
0.025,0.0,0.0,0.0,0.396234912787187,0.0,0.0,0.4936956394165353,0.0,0.0,0.0,0.0,0.0
0.03,0.0,0.0,0.0,0.18959789197388252,0.0,0.0,0.49910800272186345,0.0,0.0,0.0,0.0,0.0
0.035,0.0,0.0,0.0,-0.529340228026935,0.0,0.0,0.48513794894337847,0.0,0.0,0.0,0.0,0.0
0.04,0.0,0.0,0.0,0.08657931475138661,0.0,0.0,0.4923323147745578,0.0,0.0,0.0,0.0,0.0
0.045,0.0,0.0,0.0,-0.09482912432378934,0.0,0.0,0.5015017243393817,0.0,0.0,0.0,0.0,0.0
0.05,0.0,0.0,0.0,0.15276647795736242,0.0,0.0,0.4934384605816278,0.0,0.0,0.0,0.0,0.0
0.055,0.0,0.0,0.0,-0.19520533722613917,0.0,0.0,0.48550936394998034,0.0,0.0,0.0,0.0,0.0
0.06,0.0,0.0,0.0,0.2764447980236707,0.0,0.0,0.48599231647273483,0.0,0.0,0.0,0.0,0.0
0.065,0.0,0.0,0.0,-0.5825132186408059,0.0,0.0,0.497922891800594,0.0,0.0,0.0,0.0,0.0
0.07,0.0,0.0,0.0,0.36181222919775796,0.0,0.0,0.49957345693010446,0.0,0.0,0.0,0.0,0.0
0.075,0.0,0.0,0.0,0.29704858557407127,0.0,0.0,0.495431192833191,0.0,0.0,0.0,0.0,0.0
0.08,0.0,0.0,0.0,-0.5180203456040006,0.0,0.0,0.5187869009679745,0.0,0.0,0.0,0.0,0.0
0.085,0.0,0.0,0.0,0.3645248056455592,0.0,0.0,0.4974127318606567,0.0,0.0,0.0,0.0,0.0
0.09,0.0,0.0,0.0,0.3460481647663649,0.0,0.0,0.49788414304294853,0.0,0.0,0.0,0.0,0.0
0.095,0.0,0.0,0.0,0.002167750855745261,0.0,0.0,0.5148397013481145,0.0,0.0,0.0,0.0,0.0
0.1,0.0,0.0,0.0,0.11886998885923955,0.0,0.0,0.4787408586775946,0.0,0.0,0.0,0.0,0.0
0.105,0.0,0.0,0.0,-0.04653203288291426,0.0,0.0,0.5088322593155767,0.0,0.0,0.0,0.0,0.0
0.11,0.0,0.0,0.0,-0.09995306281129826,0.0,0.0,0.49892283860664777,0.0,0.0,0.0,0.0,0.0
0.115,0.0,0.0,0.0,0.09024957119918432,0.0,0.0,0.5143932980054998,0.0,0.0,0.0,0.0,0.0
0.12,0.0,0.0,0.0,-0.08540647453226988,0.0,0.0,0.5155065501454872,0.0,0.0,0.0,0.0,0.0
0.125,0.0,0.0,0.0,0.2592517432661217,0.0,0.0,0.48819357415268283,0.0,0.0,0.0,0.0,0.0
0.13,0.0,0.0,0.0,0.4156472823861781,0.0,0.0,0.4986977014736767,0.0,0.0,0.0,0.0,0.0
0.135,0.0,0.0,0.0,0.09103988227801613,0.0,0.0,0.4995737215098913,0.0,0.0,0.0,0.0,0.0
0.14,0.0,0.0,0.0,0.09048939140398057,0.0,0.0,0.4784328119464284,0.0,0.0,0.0,0.0,0.0
0.145,0.0,0.0,0.0,0.10811960294965828,0.0,0.0,0.4982017442097279,0.0,0.0,0.0,0.0,0.0
0.15,0.0,0.0,0.0,0.34685392875945603,0.0,0.0,0.48826327559015453,0.0,0.0,0.0,0.0,0.0
0.155,0.0,0.0,0.0,-0.1593635834447648,0.0,0.0,0.4949721571569201,0.0,0.0,0.0,0.0,0.0
0.16,0.0,0.0,0.0,0.3075266238953043,0.0,0.0,0.5143766477169242,0.0,0.0,0.0,0.0,0.0
